"tempo","valence","liveness","instrumentalness","acousticness","speechiness","loudness","energy","danceability","WeekDate","track_name.x","on_chart"
118.989,0.349,0.11,0.00653,0.238,0.0703,-8.29,0.758,0.718,NA,"Falling Back",0
118.997,0.536,0.0847,0.195,0.000916,0.0622,-4.607,0.627,0.765,NA,"Texts Go Green",0
122.013,0.416,0.0935,0.00167,0.104,0.113,-12.653,0.283,0.883,NA,"Currents",0
124.994,0.0557,0.148,0.0169,0.114,0.0561,-6.774,0.671,0.499,NA,"Massive",0
122.584,0.201,0.115,0.0993,0.886,0.0531,-13.097,0.41,0.593,NA,"Flight's Booked",0
109.739,0.518,0.107,0.00964,0.444,0.122,-10.611,0.645,0.502,NA,"Overdrive",0
109.994,0.639,0.0895,0.00036,0.965,0.0435,-11.261,0.319,0.718,NA,"Down Hill",0
120.017,0.284,0.108,0.0917,0.0176,0.0593,-10.912,0.688,0.775,NA,"Tie That Binds",0
153.17,0.48,0.107,9.89e-06,0.0499,0.213,-9.68,0.507,0.569,NA,"Rich Flex",0
130.975,0.171,0.0734,0,0.0117,0.33,-10.489,0.548,0.934,NA,"Major Distribution",0
158.066,0.351,0.396,0,0.0133,0.616,-8.929,0.372,0.848,NA,"On BS",0
142.091,0.453,0.321,1.7e-06,0.0556,0.371,-8.395,0.433,0.84,NA,"BackOutsideBoyz",0
144.055,0.687,0.129,1.74e-06,0.00249,0.182,-7.528,0.609,0.932,NA,"Privileged Rappers",0
129.953,0.184,0.158,0,0.00792,0.0504,-6.423,0.716,0.768,NA,"Spin Bout U",0
137.047,0.124,0.204,0,0.215,0.0979,-11.901,0.393,0.481,NA,"Hours In Silence",0
80.01,0.555,0.135,0,0.0841,0.426,-7.501,0.516,0.504,NA,"Treacherous Twins",0
103.977,0.277,0.312,0,0.0107,0.0739,-8.553,0.584,0.725,NA,"Circo Loco",0
122.027,0.404,0.331,0,0.0806,0.135,-6.659,0.617,0.752,NA,"Pussy & Millions (feat. Travis Scott)",0
161.987,0.0879,0.22,3.96e-05,0.0114,0.29,-7.47,0.53,0.571,NA,"Broke Boys",0
76.226,0.265,0.429,0,0.172,0.377,-5.832,0.696,0.598,NA,"Middle of the Ocean",0
198.276,0.357,0.208,0,0.239,0.46,-6.334,0.521,0.589,NA,"Jumbotron Shit Poppin",0
164.915,0.0904,0.145,0.00253,0.0414,0.146,-6.749,0.497,0.643,NA,"More M’s",0
180.862,0.189,0.163,2.53e-05,0.0461,0.376,-8.321,0.684,0.485,NA,"3AM on Glenwood",0
83.89,0.0782,0.105,2.61e-05,0.47,0.0603,-11.877,0.248,0.398,NA,"I Guess It’s Fuck Me",0
181.167,0.241,0.18,6.49e-06,0.0533,0.398,-8.327,0.692,0.475,NA,"3AM on Glenwood",0
